Updated 01/25/26 at 12:08am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Jordan Love,QB12,QB,GBP,4637,27.2,No,QB14,5679,,0
George Kittle,TE10,TE,SFO,4617,32.3,No,TE10,3716,,0
Derrick Henry,RB23,RB,BAL,4576,32.0,No,RB23,3788,,0
Zach Charbonnet,RB24,RB,SEA,4551,25.0,No,RB24,3771,,0
2026 Early 2nd,,PI,,4516,,,,3601,,0
D'Andre Swift,RB25,RB,CHI,4513,27.0,No,RB25,3629,,0
Michael Pittman,WR32,WR,IND,4508,28.3,No,WR36,3555,,0
Baker Mayfield,QB13,QB,TBB,4501,30.8,No,QB18,4742,,0
2027 Early 2nd,,PI,,4465,,,,3790,,0
Christian Watson,WR33,WR,GBP,4463,26.7,No,WR33,3689,,0
Michael Wilson,WR34,WR,ARI,4460,25.9,No,WR29,3815,,0
Davante Adams,WR35,WR,LAR,4436,33.1,No,WR37,3537,,0
Xavier Worthy,WR36,WR,KCC,4435,22.7,No,WR38,3512,,0
Wan'Dale Robinson,WR37,WR,NYG,4421,25.0,No,WR35,3576,,0
Brock Purdy,QB14,QB,SFO,4414,26.1,No,QB13,6122,,0
Dak Prescott,QB15,QB,DAL,4396,32.5,No,QB16,5058,,0
Woody Marks,RB26,RB,HOU,4387,25.1,Yes,RB26,3475,,0
Alec Pierce,WR38,WR,IND,4379,25.7,No,WR34,3606,,0
Matthew Golden,WR39,WR,GBP,4285,22.5,Yes,WR39,3468,,0
Quentin Johnston,WR40,WR,LAC,4268,24.4,No,WR40,3438,,0
Jaylen Warren,RB27,RB,PIT,4248,27.2,No,RB28,3314,,0
Jake Ferguson,TE11,TE,DAL,4192,27.0,No,TE11,3404,,0
C.J. Stroud,QB16,QB,HOU,4179,24.3,No,QB15,5349,,0
Jakobi Meyers,WR41,WR,JAC,4176,29.2,No,WR41,3411,,0
Blake Corum,RB28,RB,LAR,4163,25.2,No,RB27,3350,,0
Trey Benson,RB29,RB,ARI,4159,23.5,No,RB29,3268,,0
Bhayshul Tuten,RB30,RB,JAC,4158,22.9,Yes,RB30,3225,,0
Rico Dowdle,RB31,RB,CAR,4110,27.6,No,RB31,3183,,0
Dalton Kincaid,TE12,TE,BUF,4095,26.3,No,TE12,3309,,0
Courtland Sutton,WR42,WR,DEN,4070,30.3,No,WR42,3283,,0
Trevor Lawrence,QB17,QB,JAC,4066,26.3,No,QB12,6200,,0
2027 Mid 2nd,,PI,,3958,,,,3302,,0
D.J. Moore,WR43,WR,CHI,3957,28.8,No,WR45,3197,,0
Jayden Reed,WR44,WR,GBP,3932,25.7,No,WR44,3201,,0
2026 Mid 2nd,,PI,,3931.99,,,,3191,,0
Troy Franklin,WR45,WR,DEN,3930,23.0,No,WR46,3172,,0
Cam Ward,QB18,QB,TEN,3881,23.7,Yes,QB17,4906,,0
Terry McLaurin,WR46,WR,WAS,3876,30.4,No,WR48,3099,,0
Parker Washington,WR47,WR,JAC,3869,23.8,No,WR43,3242,,0
Brenton Strange,TE13,TE,JAC,3864,25.1,No,TE13,3230,,0
2028 Early 2nd,,PI,,3849,,,,3024,,0
Josh Downs,WR48,WR,IND,3820,24.4,No,WR47,3135,,0
Jared Goff,QB19,QB,DET,3808,31.3,No,QB20,4506,,0
Tyler Allgeier,RB32,RB,ATL,3803,25.8,No,RB32,3027,,0
Khalil Shakir,WR49,WR,BUF,3793,26.0,No,WR49,2999,,0
Sam Darnold,QB20,QB,SEA,3765,28.6,No,QB19,4662,,0
Kayshon Boutte,WR50,WR,NEP,3690,23.7,No,WR54,2893,,0
2026 Late 2nd,,PI,,3683,,,,2882,,0
2027 Late 2nd,,PI,,3677,,,,2981,,0
Chuba Hubbard,RB33,RB,CAR,3659,26.6,No,RB33,2935,,0
Jauan Jennings,WR51,WR,SFO,3639,28.5,No,WR53,2903,,0
Mason Taylor,TE14,TE,NYJ,3635,21.7,Yes,TE14,2964,,0
Jacory Croskey-Merritt,RB34,RB,WAS,3632,24.8,Yes,RB34,2916,,0
Elic Ayomanor,WR52,WR,TEN,3625,22.6,Yes,WR56,2874,,0
Romeo Doubs,WR53,WR,GBP,3621,25.8,No,WR51,2936,,0
2028 Mid 2nd,,PI,,3605,,,,2801,,0
Jalen Coker,WR54,WR,CAR,3581,24.2,No,WR50,2956,,0
Chimere Dike,WR55,WR,TEN,3559,24.1,Yes,WR52,2917,,0
Daniel Jones,QB21,QB,IND,3554,28.7,No,QB23,3768,,0
David Montgomery,RB35,RB,DET,3527,28.6,No,RB38,2749,,0
Tyjae Spears,RB36,RB,TEN,3502,24.6,No,RB37,2758,,0
Isaiah Likely,TE15,TE,BAL,3496,25.8,No,TE16,2807,,0
Isaac TeSlaa,WR56,WR,DET,3486,23.9,Yes,WR55,2881.99,,0
Pat Bryant,WR57,WR,DEN,3481,23.1,Yes,WR57,2820,,0
Jaylin Noel,WR58,WR,HOU,3479,23.4,Yes,WR61,2795,,0
Kenneth Gainwell,RB37,RB,PIT,3466,26.9,No,RB35,2833,,0
J.J. McCarthy,QB22,QB,MIN,3463,23.0,No,QB25,3678,,0
Adonai Mitchell,WR59,WR,NYJ,3457,23.3,No,WR60,2798,,0
Theo Johnson,TE16,TE,NYG,3447,24.9,No,TE18,2751,,0
Braelon Allen,RB38,RB,NYJ,3445,22.0,No,RB39,2748,,0
Dylan Sampson,RB39,RB,CLE,3433,21.4,Yes,RB40,2747.99,,0
Mike Evans,WR60,WR,TBB,3420,32.4,No,WR64,2732,,0
Kyle Williams,WR61,WR,NEP,3411,23.2,Yes,WR59,2802,,0
Jalen McMillan,WR62,WR,TBB,3400,24.1,No,WR62,2790,,0
Bryce Young,QB23,QB,CAR,3393,24.5,No,QB21,4452,,0
Tre Harris,WR63,WR,LAC,3392.99,23.9,Yes,WR58,2808,,0
Rhamondre Stevenson,RB40,RB,NEP,3391,27.9,No,RB36,2799,,0
Tory Horton,WR64,WR,SEA,3386,23.2,Yes,WR65,2727,,0
Stefon Diggs,WR65,WR,NEP,3374,32.2,No,WR63,2734,,0
Rashid Shaheed,WR66,WR,SEA,3370,27.4,No,WR66,2714,,0
AJ Barner,TE17,TE,SEA,3366,23.7,No,TE15,2822,,0
Tyrone Tracy,RB41,RB,NYG,3355,26.2,No,RB41,2731.99,,0
Brandon Aiyuk,WR67,WR,SFO,3348,27.8,No,WR68,2627,,0
Terrance Ferguson,TE18,TE,LAR,3347,22.9,Yes,TE17,2777,,0
J.K. Dobbins,RB42,RB,DEN,3308,27.1,No,RB44,2618,,0
2028 Late 2nd,,PI,,3305,,,,2701,,0
Devin Neal,RB43,RB,NOS,3304,22.4,Yes,RB42,2712,,0
Kaleb Johnson,RB44,RB,PIT,3299,22.4,Yes,RB45,2611,,0
Chris Godwin,WR68,WR,TBB,3284,29.9,No,WR67,2697,,0
Michael Penix Jr.,QB24,QB,ATL,3266,25.7,No,QB26,3609,,0
Ollie Gordon,RB45,RB,MIA,3261,22.0,Yes,RB47,2572,,0
Kimani Vidal,RB46,RB,LAC,3259,24.4,No,RB46,2583,,0
Kyler Murray,QB25,QB,ARI,3254,28.5,No,QB27,3423,,0
Matthew Stafford,QB26,QB,LAR,3248,38.0,No,QB24,3710,,0
Tony Pollard,RB47,RB,TEN,3239,28.7,No,RB43,2630,,0
T.J. Hockenson,TE19,TE,MIN,3207,28.6,No,TE19,2615,,0
Jerry Jeudy,WR69,WR,CLE,3195,26.8,No,WR69,2594,,0
Dallas Goedert,TE20,TE,PHI,3145,31.0,No,TE20,2588,,0
Elijah Arroyo,TE21,TE,SEA,3131,22.8,Yes,TE21,2528,,0
Tre Tucker,WR70,WR,LVR,3122,24.9,No,WR70,2573,,0
Jordan Mason,RB48,RB,MIN,3109,26.7,No,RB49,2510,,0
Deebo Samuel,WR71,WR,WAS,3105,30.0,No,WR71,2538,,0
Sean Tucker,RB49,RB,TBB,3091,24.2,No,RB48,2537,,0
Jonathon Brooks,RB50,RB,CAR,3055,22.5,No,RB51,2418,,0
Tez Johnson,WR72,WR,TBB,3048,23.7,Yes,WR72,2426,,0
Mark Andrews,TE22,TE,BAL,3021,30.4,No,TE22,2504,,0
Rachaad White,RB51,RB,TBB,2995,27.0,No,RB52,2401,,0
Tank Bigsby,RB52,RB,PHI,2978,24.4,No,RB50,2442,,0
Keon Coleman,WR73,WR,BUF,2966,22.7,No,WR74,2365,,0
Brashard Smith,RB53,RB,KCC,2914,22.8,Yes,RB56,2290,,0
2026 Early 3rd,,PI,,2900,,,,2376,,0
Keaton Mitchell,RB54,RB,BAL,2897,24.0,No,RB53,2392,,0
Kendre Miller,RB55,RB,NOS,2895,23.6,No,RB57,2277,,0
Marvin Mims,WR74,WR,DEN,2890,23.8,No,WR73,2371,,0
Jack Bech,WR75,WR,LVR,2845,23.1,Yes,WR76,2354,,0
Hunter Henry,TE23,TE,NEP,2828,31.1,No,TE23,2402,,0
David Njoku,TE24,TE,CLE,2822,29.5,No,TE24,2359,,0
Isaiah Bond,WR76,WR,CLE,2815,21.9,Yes,WR77,2261,,0
Brian Robinson,RB56,RB,SFO,2793,26.8,No,RB54,2390,,0
Tank Dell,WR77,WR,HOU,2792,26.2,No,WR75,2358,,0
2027 Early 3rd,,PI,,2783,,,,2381,,0
Jaylen Wright,RB57,RB,MIA,2782.99,22.8,No,RB55,2335,,0
Alvin Kamara,RB58,RB,NOS,2767,30.5,No,RB58,2260,,0
Xavier Legette,WR78,WR,CAR,2757,25.0,No,WR78,2237,,0
Juwan Johnson,TE25,TE,NOS,2721,29.4,No,TE26,2282,,0
Cade Otton,TE26,TE,TBB,2711,26.8,No,TE27,2275,,0
Isiah Pacheco,RB59,RB,KCC,2703,26.9,No,RB60,2189,,0
Gunnar Helm,TE27,TE,TEN,2698,23.4,Yes,TE25,2308,,0
2026 Mid 3rd,,PI,,2690,,,,2260.99,,0
Dalton Schultz,TE28,TE,HOU,2689,29.5,No,TE28,2271,,0
2027 Mid 3rd,,PI,,2680,,,,2276.99,,0
Isaiah Davis,RB60,RB,NYJ,2679,23.9,No,RB62,2134,,0
Demario Douglas,WR79,WR,NEP,2636,25.1,No,WR81,2161,,0
Dontayvion Wicks,WR80,WR,GBP,2629,24.6,No,WR79,2208,,0
Cedric Tillman,WR81,WR,CLE,2626,25.8,No,WR83,2063,,0
Michael Mayer,TE29,TE,LVR,2624,24.6,No,TE29,2214,,0
Aaron Jones,RB61,RB,MIN,2621,31.1,No,RB59,2199,,0
Chris Rodriguez,RB62,RB,WAS,2617,25.3,No,RB61,2154,,0
Malik Washington,WR82,WR,MIA,2606,25.0,No,WR82,2128,,0
Emanuel Wilson,RB63,RB,GBP,2591,26.7,No,RB63,2131,,0
2028 Early 3rd,,PI,,2590.99,,,,2098,,0
Tyreek Hill,WR83,WR,MIA,2580,31.9,No,WR80,2185,,0
Jaydon Blue,RB64,RB,DAL,2565,22.0,Yes,RB64,2091,,0
2026 Late 3rd,,PI,,2527,,,,2113,,0
Dont'e Thornton,WR84,WR,LVR,2526,23.2,Yes,WR84,2042,,0
2027 Late 3rd,,PI,,2501,,,,2164,,0
Chigoziem Okonkwo,TE30,TE,TEN,2500,26.4,No,TE30,2087,,0
Jalen Milroe,QB27,QB,SEA,2469,23.1,Yes,QB33,2353.99,,0
Ja'Tavion Sanders,TE31,TE,CAR,2462,22.8,No,TE33,2030,,0
Justin Fields,QB28,QB,NYJ,2446,26.9,No,QB36,2088,,0
Rashod Bateman,WR85,WR,BAL,2435,26.2,No,WR85,1981,,0
Darnell Mooney,WR86,WR,ATL,2430,28.2,No,WR86,1966,,0
Cole Kmet,TE32,TE,CHI,2420,26.9,No,TE32,2041,,0
DJ Giddens,RB65,RB,IND,2368,22.4,Yes,RB66,1949,,0
Trevor Etienne,RB66,RB,CAR,2362,21.5,Yes,RB65,1958,,0
Pat Freiermuth,TE33,TE,PIT,2351,27.2,No,TE34,1979,,0
Ray Davis,RB67,RB,BUF,2349,26.2,No,RB67,1937,,0
John Metchie,WR87,WR,NYJ,2342,25.5,No,WR88,1946,,0
Darnell Washington,TE34,TE,PIT,2336,24.4,No,TE37,1945.99,,0
Jaylin Lane,WR88,WR,WAS,2333,23.7,Yes,WR87,1954,,0
Tyler Shough,QB29,QB,NOS,2312,26.3,Yes,QB22,4223,,0
Travis Kelce,TE35,TE,KCC,2311.99,36.3,No,TE40,1855,,0
2028 Mid 3rd,,PI,,2309,,,,1960,,0
Tua Tagovailoa,QB30,QB,MIA,2297,27.9,No,QB31,2547,,0
James Conner,RB68,RB,ARI,2289,30.7,No,RB68,1918,,0
Luke McCaffrey,WR89,WR,WAS,2282,24.8,No,WR91,1868,,0
Ben Sinnott,TE36,TE,WAS,2278,23.6,No,TE31,2056,,0
Xavier Hutchinson,WR90,WR,HOU,2232,25.6,No,WR89,1904,,0
Jake Tonges,TE37,TE,SFO,2228,26.6,No,TE36,1963,,0
Bam Knight,RB69,RB,ARI,2216,24.8,No,RB69,1796,,0
2028 Late 3rd,,PI,,2204,,,,1876,,0
Colby Parkinson,TE38,TE,LAR,2193,27.0,No,TE35,1977,,0
Jalen Nailor,WR91,WR,MIN,2187,26.9,No,WR92,1852,,0
Ryan Flournoy,WR92,WR,DAL,2186,26.2,No,WR90,1881,,0
Tyquan Thornton,WR93,WR,KCC,2163,25.5,No,WR100,1731,,0
Keenan Allen,WR94,WR,LAC,2162,33.7,No,WR94,1773,,0
Luke Musgrave,TE39,TE,GBP,2158,25.4,No,TE39,1867.99,,0
Tahj Brooks,RB70,RB,CIN,2156,23.7,Yes,RB74,1700,,0
LeQuint Allen,RB71,RB,JAC,2135,21.5,Yes,RB70,1793,,0
Evan Engram,TE40,TE,DEN,2119,31.4,No,TE38,1901,,0
Shedeur Sanders,QB31,QB,CLE,2116,24.0,Yes,QB28,2949,,0
Najee Harris,RB72,RB,LAC,2110,27.9,No,RB71,1783,,0
Roman Wilson,WR95,WR,PIT,2108,24.6,No,WR96,1753,,0
Jalen Royals,WR97,WR,KCC,2097,22.9,Yes,WR97,1738,,0
Calvin Austin III,WR96,WR,PIT,2096.99,26.8,No,WR101,1727,,0
Andrei Iosivas,WR98,WR,CIN,2089,26.3,No,WR98,1734,,0
2026 Early 4th,,PI,,2085,,,,1849,,0
Mac Jones,QB32,QB,SFO,2067,27.4,No,QB29,2710,,0
Anthony Richardson,QB33,QB,IND,2053,23.7,No,QB34,2327,,0
Darius Slayton,WR99,WR,NYG,2043,29.0,No,WR102,1698,,0
Audric Estime,RB73,RB,NOS,2040,22.4,No,RB72,1782,,0
Marquise Brown,WR100,WR,KCC,2037,28.6,No,WR99,1733,,0
Noah Gray,TE41,TE,KCC,2023,26.7,No,TE41,1718,,0
MarShawn Lloyd,RB74,RB,GBP,2018,25.0,No,RB78,1611,,0
